,Atlanta,Bellevue,Chicago,Dallas,Denver,Indianapolis,New York,San Francisco,Seattle,The Ranch,postal_code,state,latitude,longitude
949,0.124116372,0.667194404,0.20249722,0.383112297,0.454376723,0.178047663,0.002427245,0.714337303,0.667195447,0.713404306,11367,New York,40.72795,-73.821305
950,0.123955609,0.666187599,0.201581821,0.382563801,0.453517212,0.177248991,0.001608928,0.713440784,0.666188642,0.712519797,11369,New York,40.764105,-73.874425
951,0.123833705,0.665950629,0.201328981,0.382328097,0.45326226,0.176994587,0.001361023,0.713186889,0.665951672,0.712265419,11370,New York,40.765545,-73.89188
952,0.123761545,0.666116833,0.201436457,0.382294033,0.453342713,0.177048672,0.001391259,0.713284879,0.666117877,0.712357565,11372,New York,40.75135,-73.888865
953,0.123732334,0.666356907,0.201625066,0.382339577,0.453505668,0.177186138,0.001554484,0.713464433,0.66635795,0.712531613,11373,New York,40.7371,-73.88014
954,0.123797342,0.666671403,0.201917734,0.382529677,0.453783447,0.177447516,0.001849172,0.713752014,0.666672446,0.712816024,11374,New York,40.7270469,-73.8626827
955,0.123897678,0.666962267,0.202206058,0.382756201,0.454065325,0.177720776,0.002139665,0.714038333,0.66696331,0.713100982,11375,New York,40.721095,-73.844195
956,0.12362198,0.665964029,0.201246515,0.382064967,0.453140301,0.176836611,0.00118361,0.713090195,0.665965072,0.712160181,11377,New York,40.747185,-73.903685
957,0.123547524,0.666255056,0.201458168,0.382070848,0.453313556,0.176972788,0.001403772,0.713288027,0.666256099,0.712349807,11378,New York,40.72665,-73.895395
958,0.123621637,0.666543064,0.201732697,0.382263413,0.453577068,0.177223742,0.001689361,0.713558811,0.666544107,0.71261826,11379,New York,40.718665,-73.878555
959,0.123342876,0.66643815,0.201522465,0.38187481,0.453324142,0.176935134,0.001617582,0.713332116,0.666439194,0.712382532,11385,New York,40.700505,-73.89946
960,0.124299708,0.66856348,0.203726092,0.383810165,0.455521362,0.179106033,0.003714234,0.715536275,0.668564523,0.714585405,11413,New York,40.675365,-73.75155
961,0.123922758,0.667272818,0.202477751,0.382894058,0.454314974,0.177948106,0.002429667,0.714302173,0.667273861,0.713360139,11415,New York,40.7078417,-73.8292956
962,0.123600602,0.667196592,0.202272734,0.382460335,0.454056625,0.177645079,0.002356635,0.714076555,0.667197635,0.713123255,11416,New York,40.68461,-73.851535
963,0.123615892,0.667389745,0.202441794,0.382545565,0.454211663,0.177786511,0.002558242,0.714240396,0.667390788,0.713284164,11417,New York,40.67632,-73.84231
964,0.123816909,0.667291257,0.202446812,0.382766392,0.454262834,0.177877557,0.002434807,0.714263193,0.6672923,0.713316663,11418,New York,40.698055,-73.834725
965,0.123607308,0.667062194,0.202162678,0.382422932,0.453959533,0.177560234,0.002214011,0.713971351,0.667063237,0.71302077,11421,New York,40.691825,-73.85694
966,0.124917993,0.668449878,0.203903748,0.384554646,0.455822187,0.179515229,0.003866988,0.715759578,0.668450921,0.714835112,11426,New York,40.73298,-73.71996
967,0.124766099,0.668197817,0.203625411,0.38427669,0.45553775,0.179227846,0.003581592,0.715478736,0.66819886,0.71455292,11427,New York,40.732745,-73.739765
968,0.124641435,0.668450829,0.203781957,0.384204754,0.455650086,0.179298378,0.003711138,0.715619524,0.668451872,0.714684167,11429,New York,40.709695,-73.73622
969,0.124190163,0.667617589,0.202884637,0.383350097,0.454741482,0.178388218,0.002816562,0.714716897,0.667618633,0.713779067,11432,New York,40.71319,-73.798685
970,0.125609252,0.669372529,0.204982853,0.385742703,0.45694747,0.180673331,0.005015846,0.716856008,0.669373571,0.715941781,11501,New York,40.745155,-73.639525
971,0.125701374,0.669015066,0.204726223,0.385738443,0.456736818,0.18050944,0.004876444,0.716614481,0.669016109,0.715710443,11507,New York,40.7707214,-73.6494651
972,0.125851901,0.669692542,0.20535851,0.386158201,0.45733943,0.18107717,0.005420819,0.717237617,0.669693585,0.716327046,11514,New York,40.749605,-73.611465
973,0.125288223,0.66936757,0.204835402,0.385334303,0.456742898,0.180416905,0.004786328,0.716688492,0.669368613,0.715761726,11530,New York,40.71838,-73.658695
